Ndex,pokemon_name,pokemon_height,pokemon_weight,t1,t2,color,evolution
#891,Kubfu,0.6 m,12.0 kg,Fighting,Unknown,Gray,Urshifu;Urshifu Single Strike Style;Urshifu Rapid Strike Style
#889,Zamazenta,2.9 m,210.0 kg,Fighting,Unknown,Red,Final
#885,Dreepy,0.5 m,2.0 kg,Dragon,Ghost,Green,Drakloak
#890,Eternatus,20.0 m,950.0 kg,Poison,Dragon,Purple,Final
#884,Duraludon,1.8 m,40.0 kg,Steel,Dragon,White,Final
#879,Copperajah,3.0 m,650.0 kg,Steel,Unknown,Green,Final
#883,Arctovish,2.0 m,175.0 kg,Water,Ice,Blue,Final
#882,Dracovish,2.3 m,215.0 kg,Water,Dragon,Green,Final
#878,Cufant,1.2 m,100.0 kg,Steel,Unknown,Yellow,Copperajah
#881,Arctozolt,2.3 m,150.0 kg,Electric,Ice,Blue,Final
#880,Dracozolt,1.8 m,190.0 kg,Electric,Dragon,Green,Final
#877,Morpeko,0.3 m,3.0 kg,Electric,Dark,Yellow,Final
#876,Indeedee,0.9 m,28.0 kg,Psychic,Normal,Purple,Final
#874,Stonjourner,2.5 m,520.0 kg,Rock,Unknown,Gray,Final
#869,Alcremie,0.3 m,0.5 kg,Fairy,Unknown,White,Final
#873,Frosmoth,1.3 m,42.0 kg,Ice,Bug,White,Final
#871,Pincurchin,0.3 m,1.0 kg,Electric,Unknown,Purple,Final
#875,Eiscue,1.4 m,89.0 kg,Ice,Unknown,Blue,Final
#872,Snom,0.3 m,3.8 kg,Ice,Bug,White,Frosmoth
#870,Falinks,3.0 m,62.0 kg,Fighting,Unknown,Yellow,Final
#864,Cursola,1.0 m,0.4 kg,Ghost,Unknown,White,Final
#868,Milcery,0.2 m,0.3 kg,Fairy,Unknown,White,Final
#861,Grimmsnarl,1.5 m,61.0 kg,Dark,Fairy,Purple,Final
#867,Runerigus,1.6 m,66.6 kg,Ground,Ghost,Gray,Final
#866,Mr. Rime,1.5 m,58.2 kg,Ice,Psychic,Purple,Final
#863,Perrserker,0.8 m,28.0 kg,Steel,Unknown,Brown,Final
#865,Sirfetch'd,0.8 m,117.0 kg,Fighting,Unknown,White,Final
#862,Obstagoon,1.6 m,46.0 kg,Dark,Normal,Gray,Final
#860,Morgrem,0.8 m,12.5 kg,Dark,Fairy,Pink,Grimmsnarl
#859,Impidimp,0.4 m,5.5 kg,Dark,Fairy,Pink,Morgrem
#858,Hatterene,2.1 m,5.1 kg,Psychic,Fairy,Pink,Final
#857,Hattrem,0.6 m,4.8 kg,Psychic,Unknown,Pink,Hatterene
#855,Polteageist,0.2 m,0.4 kg,Ghost,Unknown,Purple,Final
#856,Hatenna,0.4 m,3.4 kg,Psychic,Unknown,Pink,Hattrem
#854,Sinistea,0.1 m,0.2 kg,Ghost,Unknown,Purple,Polteageist
#853,Grapploct,1.6 m,39.0 kg,Fighting,Unknown,Blue,Final
#851,Centiskorch,3.0 m,120.0 kg,Fire,Bug,Red,Final
#850,Sizzlipede,0.7 m,1.0 kg,Fire,Bug,Red,Centiskorch
#848,Toxel,0.4 m,11.0 kg,Electric,Poison,Purple,Toxtricity
#846,Arrokuda,0.5 m,1.0 kg,Water,Unknown,Brown,Barraskewda
#845,Cramorant,0.8 m,18.0 kg,Flying,Water,Blue,Final
#849,Toxtricity,1.6 m,40.0 kg,Electric,Poison,Purple,Final
#852,Clobbopus,0.6 m,4.0 kg,Fighting,Unknown,Brown,Grapploct
#844,Sandaconda,3.8 m,65.5 kg,Ground,Unknown,Green,Final
#843,Silicobra,2.2 m,7.6 kg,Ground,Unknown,Green,Sandaconda
#839,Coalossal,2.8 m,310.5 kg,Rock,Fire,Black,Final
#842,Appletun,0.4 m,13.0 kg,Grass,Dragon,Green,Final
#847,Barraskewda,1.3 m,30.0 kg,Water,Unknown,Brown,Final
#840,Applin,0.2 m,0.5 kg,Grass,Dragon,Green,Appletun;Flapple
#838,Carkol,1.1 m,78.0 kg,Rock,Fire,Black,Coalossal
#841,Flapple,0.3 m,1.0 kg,Grass,Dragon,Green,Final
#837,Rolycoly,0.3 m,12.0 kg,Rock,Unknown,Black,Carkol
#833,Chewtle,0.3 m,8.5 kg,Water,Unknown,Green,Drednaw
#834,Drednaw,1.0 m,115.5 kg,Water,Rock,Green,Final
#832,Dubwool,1.3 m,43.0 kg,Normal,Unknown,White,Final
#831,Wooloo,0.6 m,6.0 kg,Normal,Unknown,White,Dubwool
#829,Gossifleur,0.4 m,2.2 kg,Grass,Unknown,Green,Eldegoss
#836,Boltund,1.0 m,34.0 kg,Electric,Unknown,Yellow,Final
#835,Yamper,0.3 m,13.5 kg,Electric,Unknown,Yellow,Boltund
#828,Thievul,1.2 m,19.9 kg,Dark,Unknown,Brown,Final
#827,Nickit,0.6 m,8.9 kg,Dark,Unknown,Brown,Thievul
#830,Eldegoss,0.5 m,2.5 kg,Grass,Unknown,Green,Final
#826,Orbeetle,0.4 m,40.8 kg,Bug,Psychic,Red,Final
#825,Dottler,0.4 m,19.5 kg,Bug,Psychic,Yellow,Orbeetle
#824,Blipbug,0.4 m,8.0 kg,Bug,Unknown,Blue,Dottler
#823,Corviknight,2.2 m,75.0 kg,Flying,Steel,Purple,Final
#822,Corvisquire,0.8 m,16.0 kg,Flying,Unknown,Blue,Corviknight
#820,Greedent,0.6 m,6.0 kg,Normal,Unknown,Brown,Final
#819,Skwovet,0.3 m,2.5 kg,Normal,Unknown,Brown,Greedent
#821,Rookidee,0.2 m,1.8 kg,Flying,Unknown,Blue,Corvisquire
#818,Inteleon,1.9 m,45.2 kg,Water,Unknown,Blue,Final
#816,Sobble,0.3 m,4.0 kg,Water,Unknown,Blue,Drizzile
#815,Cinderace,1.4 m,33.0 kg,Fire,Unknown,White,Final
#814,Raboot,0.6 m,9.0 kg,Fire,Unknown,Gray,Cinderace
#813,Scorbunny,0.3 m,4.5 kg,Fire,Unknown,White,Raboot
#817,Drizzile,0.7 m,11.5 kg,Water,Unknown,Blue,Inteleon
#812,Rillaboom,2.1 m,90.0 kg,Grass,Unknown,Green,Final
#811,Thwackey,0.7 m,14.0 kg,Grass,Unknown,Green,Rillaboom
#810,Grookey,0.3 m,5.0 kg,Grass,Unknown,Green,Thwackey
#805,Stakataka,5.5 m,820.0 kg,Rock,Steel,Gray,Final
#809,Melmetal,2.5 m,800.0 kg,Steel,Unknown,Gray,Final
#808,Meltan,0.2 m,8.0 kg,Steel,Unknown,Gray,Final
#807,Zeraora,1.5 m,44.5 kg,Electric,Unknown,Yellow,Final
#806,Blacephalon,1.8 m,13.0 kg,Fire,Ghost,White,Final
#803,Poipole,0.6 m,1.8 kg,Poison,Unknown,Purple,Naganadel
#802,Marshadow,0.7 m,22.2 kg,Fighting,Ghost,Gray,Final
#798,Kartana,0.3 m,0.1 kg,Grass,Steel,White,Final
#796,Xurkitree,3.8 m,100.0 kg,Electric,Unknown,Black,Final
#800,Necrozma,2.4 m,230.0 kg,Psychic,Unknown,Black,Final
#799,Guzzlord,5.5 m,888.0 kg,Dark,Dragon,Black,Final
#801,Magearna,1.0 m,80.5 kg,Steel,Fairy,Gray,Final
#797,Celesteela,9.2 m,999.9 kg,Steel,Flying,Green,Final
#795,Pheromosa,1.8 m,25.0 kg,Bug,Fighting,White,Final
#794,Buzzwole,2.4 m,333.6 kg,Bug,Fighting,Red,Final
#793,Nihilego,1.2 m,55.5 kg,Rock,Poison,White,Final
#792,Lunala,4.0 m,120.0 kg,Psychic,Ghost,Purple,Shield
#790,Cosmoem,0.1 m,999.9 kg,Psychic,Unknown,Blue,Lunala
#788,Tapu Fini,1.3 m,21.2 kg,Water,Fairy,Purple,Final
#791,Solgaleo,3.4 m,230.0 kg,Psychic,Steel,White,Sword
#786,Tapu Lele,1.2 m,18.6 kg,Psychic,Fairy,Pink,Final
#789,Cosmog,0.2 m,0.1 kg,Psychic,Unknown,Blue,Cosmoem
#785,Tapu Koko,1.8 m,20.5 kg,Electric,Fairy,Yellow,Final
#784,Kommo-o,1.6 m,78.2 kg,Dragon,Fighting,Gray,Final
#787,Tapu Bulu,1.9 m,45.5 kg,Grass,Fairy,Red,Final
#783,Hakamo-o,1.2 m,47.0 kg,Dragon,Fighting,Gray,Kommo-o
#782,Jangmo-o,0.6 m,29.7 kg,Dragon,Unknown,Gray,Hakamo-o
#781,Dhelmise,3.9 m,210.0 kg,Ghost,Grass,Green,Final
#779,Bruxish,0.9 m,19.0 kg,Water,Psychic,Pink,Final
#778,Mimikyu,0.2 m,0.7 kg,Ghost,Fairy,Yellow,Final
#780,Drampa,3.0 m,185.0 kg,Normal,Dragon,White,Final
#775,Komala,0.4 m,19.9 kg,Normal,Unknown,Blue,Final
#774,Minior,0.3 m,40.0 kg,Rock,Flying,Brown,Final
#776,Turtonator,2.0 m,212.0 kg,Fire,Dragon,Red,Final
#777,Togedemaru,0.3 m,3.3 kg,Electric,Steel,Gray,Final
#773,Silvally,2.3 m,100.5 kg,Normal,Unknown,Gray,Final
#772,Type: Null,1.9 m,120.5 kg,Normal,Unknown,Gray,Silvally
#771,Pyukumuku,0.3 m,1.2 kg,Water,Unknown,Black,Final
#770,Palossand,1.3 m,250.0 kg,Ghost,Ground,Brown,Final
#768,Golisopod,2.0 m,108.0 kg,Bug,Water,Gray,Final
#769,Sandygast,0.5 m,70.0 kg,Ghost,Ground,Brown,Palossand
#767,Wimpod,0.5 m,12.0 kg,Bug,Water,Gray,Golisopod
#766,Passimian,2.0 m,82.8 kg,Fighting,Unknown,White,Final
#765,Oranguru,1.5 m,76.0 kg,Normal,Psychic,White,Final
#763,Tsareena,1.2 m,21.4 kg,Grass,Unknown,Purple,Final
#764,Comfey,0.1 m,0.3 kg,Fairy,Unknown,Green,Final
#762,Steenee,0.7 m,8.2 kg,Grass,Unknown,Purple,Tsareena
#761,Bounsweet,0.3 m,3.2 kg,Grass,Unknown,Purple,Steenee
#759,Stufful,0.5 m,6.8 kg,Normal,Fighting,Pink,Bewear
#757,Salandit,0.6 m,4.8 kg,Poison,Fire,Black,Salazzle
#755,Morelull,0.2 m,1.5 kg,Grass,Fairy,Purple,Shiinotic
#756,Shiinotic,1.0 m,11.5 kg,Grass,Fairy,Purple,Final
#760,Bewear,2.1 m,135.0 kg,Normal,Fighting,Pink,Final
#758,Salazzle,1.2 m,22.2 kg,Poison,Fire,Black,Salazzle
#754,Lurantis,0.9 m,18.5 kg,Grass,Unknown,Pink,Final
#753,Fomantis,0.3 m,1.5 kg,Grass,Unknown,Pink,Lurantis
#752,Araquanid,1.8 m,82.0 kg,Water,Bug,Green,Final
#750,Mudsdale,2.5 m,920.0 kg,Ground,Unknown,Brown,Final
#748,Toxapex,0.7 m,14.5 kg,Poison,Water,Blue,Final
#747,Mareanie,0.4 m,8.0 kg,Poison,Water,Blue,Toxapex
#751,Dewpider,0.3 m,4.0 kg,Water,Bug,Green,Araquanid
#746,Wishiwashi,0.2 m,0.3 kg,Water,Unknown,Blue,Final
#745,Lycanroc,0.8 m,25.0 kg,Rock,Unknown,Brown,Midnight Form Lycanroc;Dusk Form Lycanroc;Midday Form Lycanroc
#749,Mudbray,1.0 m,110.0 kg,Ground,Unknown,Brown,Mudsdale
#744,Rockruff,0.5 m,9.2 kg,Rock,Unknown,Brown,Dusk Form Lycanroc;Lycanroc;Midnight Form Lycanroc;Midday Form Lycanroc
#743,Ribombee,0.2 m,0.5 kg,Bug,Fairy,Yellow,Final
#742,Cutiefly,0.1 m,0.2 kg,Bug,Fairy,Yellow,Ribombee
#741,Oricorio,0.6 m,3.4 kg,Fire,Flying,Red,Final
#740,Crabominable,1.7 m,180.0 kg,Fighting,Ice,White,Final
#739,Crabrawler,0.6 m,7.0 kg,Fighting,Unknown,Purple,Crabominable
#738,Vikavolt,1.5 m,45.0 kg,Bug,Electric,Blue,Final
#737,Charjabug,0.5 m,10.5 kg,Bug,Electric,Green,Vikavolt
#736,Grubbin,0.4 m,4.4 kg,Bug,Unknown,Gray,Charjabug
#734,Yungoos,0.4 m,6.0 kg,Normal,Unknown,Brown,Gumshoos
#732,Trumbeak,0.6 m,14.8 kg,Normal,Flying,Black,Toucannon
#735,Gumshoos,0.7 m,14.2 kg,Normal,Unknown,Brown,Final
#733,Toucannon,1.1 m,26.0 kg,Normal,Flying,Black,Final
#731,Pikipek,0.3 m,1.2 kg,Normal,Flying,Black,Trumbeak
#730,Primarina,1.8 m,44.0 kg,Water,Fairy,Blue,Final
#729,Brionne,0.6 m,17.5 kg,Water,Unknown,Blue,Primarina
#728,Popplio,0.4 m,7.5 kg,Water,Unknown,Blue,Brionne
#725,Litten,0.4 m,4.3 kg,Fire,Unknown,Red,Torracat
#727,Incineroar,1.8 m,83.0 kg,Fire,Dark,Red,Final
#724,Decidueye,1.6 m,36.6 kg,Grass,Ghost,Brown,Final
#726,Torracat,0.7 m,25.0 kg,Fire,Unknown,Red,Incineroar
#723,Dartrix,0.7 m,16.0 kg,Grass,Flying,Brown,Decidueye
#722,Rowlet,0.3 m,1.5 kg,Grass,Flying,Brown,Dartrix
#721,Volcanion,1.7 m,195.0 kg,Fire,Water,Brown,Final
#720,Hoopa,0.5 m,9.0 kg,Psychic,Ghost,Purple,Final
#719,Diancie,0.7 m,8.8 kg,Rock,Fairy,Pink,Final
#714,Noibat,0.5 m,8.0 kg,Flying,Dragon,Purple,Noivern
#713,Avalugg,2.0 m,505.0 kg,Ice,Unknown,Blue,Final
#718,Zygarde,5.0 m,305.0 kg,Dragon,Ground,Green,Final
#717,Yveltal,5.8 m,203.0 kg,Dark,Flying,Red,Final
#712,Bergmite,1.0 m,99.5 kg,Ice,Unknown,Blue,Avalugg
#716,Xerneas,3.0 m,215.0 kg,Fairy,Unknown,Blue,Final
#715,Noivern,1.5 m,85.0 kg,Flying,Dragon,Purple,Final
#711,Gourgeist,0.7 m,9.5 kg,Ghost,Grass,Brown,Final
#710,Pumpkaboo,0.3 m,3.5 kg,Ghost,Grass,Brown,Gourgeist
#709,Trevenant,1.5 m,71.0 kg,Ghost,Grass,Brown,Final
#708,Phantump,0.4 m,7.0 kg,Ghost,Grass,Brown,Trevenant
#706,Goodra,2.0 m,150.5 kg,Dragon,Unknown,Purple,Final
#707,Klefki,0.2 m,3.0 kg,Steel,Fairy,Gray,Final
#705,Sliggoo,0.8 m,17.5 kg,Dragon,Unknown,Purple,Goodra
#704,Goomy,0.3 m,2.8 kg,Dragon,Unknown,Purple,Sliggoo
#702,Dedenne,0.2 m,2.2 kg,Electric,Fairy,Yellow,Final
#701,Hawlucha,0.8 m,21.5 kg,Fighting,Flying,Green,Final
#700,Sylveon,1.0 m,23.5 kg,Fairy,Unknown,Pink,Final
#698,Amaura,1.3 m,25.2 kg,Rock,Ice,Blue,Aurorus
#696,Tyrunt,0.8 m,26.0 kg,Rock,Dragon,Brown,Tyrantrum
#697,Tyrantrum,2.5 m,270.0 kg,Rock,Dragon,Red,Final
#703,Carbink,0.3 m,5.7 kg,Rock,Fairy,Gray,Final
#699,Aurorus,2.7 m,225.0 kg,Rock,Ice,Blue,Final
#689,Barbaracle,1.3 m,96.0 kg,Rock,Water,Brown,Final
#695,Heliolisk,1.0 m,21.0 kg,Electric,Normal,Yellow,Final
#694,Helioptile,0.5 m,6.0 kg,Electric,Normal,Yellow,Heliolisk
#693,Clawitzer,1.3 m,35.3 kg,Water,Unknown,Blue,Final
#692,Clauncher,0.5 m,8.3 kg,Water,Unknown,Blue,Clawitzer
#688,Binacle,0.5 m,31.0 kg,Rock,Water,Brown,Barbaracle
#690,Skrelp,0.5 m,7.3 kg,Poison,Water,Brown,Dragalge
#691,Dragalge,1.8 m,81.5 kg,Poison,Dragon,Brown,Final
#687,Malamar,1.5 m,47.0 kg,Dark,Psychic,Blue,Final
#684,Swirlix,0.4 m,3.5 kg,Fairy,Unknown,White,Slurpuff
#683,Aromatisse,0.8 m,15.5 kg,Fairy,Unknown,Pink,Final
#685,Slurpuff,0.8 m,5.0 kg,Fairy,Unknown,White,Final
#680,Doublade,0.8 m,4.5 kg,Steel,Ghost,Brown,Aegislash
#686,Inkay,0.4 m,3.5 kg,Dark,Psychic,Blue,Malamar
#679,Honedge,0.8 m,2.0 kg,Steel,Ghost,Brown,Doublade
#678,Meowstic,0.6 m,8.5 kg,Psychic,Unknown,Blue,Final
#682,Spritzee,0.2 m,0.5 kg,Fairy,Unknown,Pink,Aromatisse
#677,Espurr,0.3 m,3.5 kg,Psychic,Unknown,Gray,Meowstic
#676,Furfrou,1.2 m,28.0 kg,Normal,Unknown,White,Final
#681,Aegislash,1.7 m,53.0 kg,Steel,Ghost,Brown,Final
#673,Gogoat,1.7 m,91.0 kg,Grass,Unknown,Brown,Final
#674,Pancham,0.6 m,8.0 kg,Fighting,Unknown,White,Pangoro
#675,Pangoro,2.1 m,136.0 kg,Fighting,Dark,White,Final
#672,Skiddo,0.9 m,31.0 kg,Grass,Unknown,Brown,Gogoat
#671,Florges,1.1 m,10.0 kg,Fairy,Unknown,White,Final
#670,Floette,0.2 m,0.9 kg,Fairy,Unknown,White,Florges
#669,Flabébé,0.1 m,0.1 kg,Fairy,Unknown,White,Floette
#668,Pyroar,1.5 m,81.5 kg,Fire,Normal,Brown,Final
#667,Litleo,0.6 m,13.5 kg,Fire,Normal,Brown,Pyroar
#666,Vivillon,1.2 m,17.0 kg,Bug,Flying,White,Final
#665,Spewpa,0.3 m,8.4 kg,Bug,Unknown,Black,Vivillon
#664,Scatterbug,0.3 m,2.5 kg,Bug,Unknown,Black,Spewpa
#663,Talonflame,1.2 m,24.5 kg,Fire,Flying,Red,Final
#662,Fletchinder,0.7 m,16.0 kg,Fire,Flying,Red,Talonflame
#660,Diggersby,1.0 m,42.4 kg,Normal,Ground,Brown,Final
#661,Fletchling,0.3 m,1.7 kg,Normal,Flying,Red,Fletchinder
#659,Bunnelby,0.4 m,5.0 kg,Normal,Unknown,Brown,Diggersby
#658,Greninja,1.5 m,40.0 kg,Water,Dark,Blue,Final
#657,Frogadier,0.6 m,10.9 kg,Water,Unknown,Blue,Greninja
#656,Froakie,0.3 m,7.0 kg,Water,Unknown,Blue,Frogadier
#655,Delphox,1.5 m,39.0 kg,Fire,Psychic,Red,Final
#654,Braixen,1.0 m,14.5 kg,Fire,Unknown,Red,Delphox
#653,Fennekin,0.4 m,9.4 kg,Fire,Unknown,Red,Braixen
#652,Chesnaught,1.6 m,90.0 kg,Grass,Fighting,Green,Final
#650,Chespin,0.4 m,9.0 kg,Grass,Unknown,Green,Quilladin
#649,Genesect,1.5 m,82.5 kg,Bug,Steel,Purple,Final
#648,Meloetta,0.6 m,6.5 kg,Normal,Psychic,White,Final
#646,Kyurem,3.0 m,325.0 kg,Dragon,Ice,Gray,Final
#645,Landorus,1.5 m,68.0 kg,Ground,Flying,Brown,Final
#644,Zekrom,2.9 m,345.0 kg,Dragon,Electric,Black,Final
#651,Quilladin,0.7 m,29.0 kg,Grass,Unknown,Green,Chesnaught
#647,Keldeo,1.4 m,48.5 kg,Water,Fighting,Yellow,Final
#637,Volcarona,1.6 m,46.0 kg,Bug,Fire,White,Final
#643,Reshiram,3.2 m,330.0 kg,Dragon,Fire,White,Final
#642,Thundurus,1.5 m,61.0 kg,Electric,Flying,Blue,Final
#641,Tornadus,1.5 m,63.0 kg,Flying,Unknown,Green,Final
#640,Virizion,2.0 m,200.0 kg,Grass,Fighting,Green,Final
#636,Larvesta,1.1 m,28.8 kg,Bug,Fire,White,Volcarona
#639,Terrakion,1.9 m,260.0 kg,Rock,Fighting,Gray,Final
#638,Cobalion,2.1 m,250.0 kg,Steel,Fighting,Blue,Final
#635,Hydreigon,1.8 m,160.0 kg,Dark,Dragon,Blue,Final
#634,Zweilous,1.4 m,50.0 kg,Dark,Dragon,Blue,Hydreigon
#633,Deino,0.8 m,17.3 kg,Dark,Dragon,Blue,Zweilous
#632,Durant,0.3 m,33.0 kg,Bug,Steel,Gray,Final
#631,Heatmor,1.4 m,58.0 kg,Fire,Unknown,Red,Final
#630,Mandibuzz,1.2 m,39.5 kg,Dark,Flying,Brown,Final
#628,Braviary,1.5 m,41.0 kg,Normal,Flying,Red,Final
#629,Vullaby,0.5 m,9.0 kg,Dark,Flying,Brown,Mandibuzz
#626,Bouffalant,1.6 m,94.6 kg,Normal,Unknown,Brown,Final
#625,Bisharp,1.6 m,70.0 kg,Dark,Steel,Red,Final
#624,Pawniard,0.5 m,10.2 kg,Dark,Steel,Red,Bisharp
#623,Golurk,2.8 m,330.0 kg,Ground,Ghost,Green,Final
#620,Mienshao,1.4 m,35.5 kg,Fighting,Unknown,Purple,Final
#627,Rufflet,0.5 m,10.5 kg,Normal,Flying,White,Braviary
#622,Golett,1.0 m,92.0 kg,Ground,Ghost,Green,Golurk
#621,Druddigon,1.6 m,139.0 kg,Dragon,Unknown,Red,Final
#619,Mienfoo,0.9 m,20.0 kg,Fighting,Unknown,Yellow,Mienshao
#618,Stunfisk,0.7 m,11.0 kg,Ground,Electric,Brown,Final
#617,Accelgor,0.8 m,25.3 kg,Bug,Unknown,Red,Final
#616,Shelmet,0.4 m,7.7 kg,Bug,Unknown,Red,Accelgor
#613,Cubchoo,0.5 m,8.5 kg,Ice,Unknown,White,Beartic
#615,Cryogonal,1.1 m,148.0 kg,Ice,Unknown,Blue,Final
#612,Haxorus,1.8 m,105.5 kg,Dragon,Unknown,Yellow,Final
#614,Beartic,2.6 m,260.0 kg,Ice,Unknown,White,Final
#611,Fraxure,1.0 m,36.0 kg,Dragon,Unknown,Green,Haxorus
#604,Eelektross,2.1 m,80.5 kg,Electric,Unknown,Blue,Final
#610,Axew,0.6 m,18.0 kg,Dragon,Unknown,Green,Fraxure
#609,Chandelure,1.0 m,34.3 kg,Ghost,Fire,Black,Final
#608,Lampent,0.6 m,13.0 kg,Ghost,Fire,Black,Chandelure
#607,Litwick,0.3 m,3.1 kg,Ghost,Fire,White,Lampent
#606,Beheeyem,1.0 m,34.5 kg,Psychic,Unknown,Brown,Final
#605,Elgyem,0.5 m,9.0 kg,Psychic,Unknown,Blue,Beheeyem
#602,Tynamo,0.2 m,0.3 kg,Electric,Unknown,White,Eelektrik
#603,Eelektrik,1.2 m,22.0 kg,Electric,Unknown,Blue,Eelektross
#601,Klinklang,0.6 m,81.0 kg,Steel,Unknown,Gray,Final
#600,Klang,0.6 m,51.0 kg,Steel,Unknown,Gray,Klinklang
#599,Klink,0.3 m,21.0 kg,Steel,Unknown,Gray,Klang
#598,Ferrothorn,1.0 m,110.0 kg,Grass,Steel,Gray,Final
#597,Ferroseed,0.6 m,18.8 kg,Grass,Steel,Gray,Ferrothorn
#596,Galvantula,0.8 m,14.3 kg,Bug,Electric,Yellow,Final
#594,Alomomola,1.2 m,31.6 kg,Water,Unknown,Pink,Final
#593,Jellicent,2.2 m,135.0 kg,Water,Ghost,White,Final
#592,Frillish,1.2 m,33.0 kg,Water,Ghost,White,Jellicent
#591,Amoonguss,0.6 m,10.5 kg,Grass,Poison,White,Final
#589,Escavalier,1.0 m,33.0 kg,Bug,Steel,Gray,Final
#588,Karrablast,0.5 m,5.9 kg,Bug,Unknown,Blue,Escavalier
#595,Joltik,0.1 m,0.6 kg,Bug,Electric,Yellow,Galvantula
#590,Foongus,0.2 m,1.0 kg,Grass,Poison,White,Amoonguss
#581,Swanna,1.3 m,24.2 kg,Water,Flying,White,Final
#587,Emolga,0.4 m,5.0 kg,Electric,Flying,White,Final
#586,Sawsbuck,1.9 m,92.5 kg,Normal,Grass,Brown,Final
#584,Vanilluxe,1.3 m,57.5 kg,Ice,Unknown,White,Final
#585,Deerling,0.6 m,19.5 kg,Normal,Grass,Pink,Sawsbuck
#580,Ducklett,0.5 m,5.5 kg,Water,Flying,Blue,Swanna
#583,Vanillish,1.1 m,41.0 kg,Ice,Unknown,White,Vanilluxe
#582,Vanillite,0.4 m,5.7 kg,Ice,Unknown,White,Final
#579,Reuniclus,1.0 m,20.1 kg,Psychic,Unknown,Green,Final
#578,Duosion,0.6 m,8.0 kg,Psychic,Unknown,Green,Reuniclus
#577,Solosis,0.3 m,1.0 kg,Psychic,Unknown,Green,Duosion
#576,Gothitelle,1.5 m,44.0 kg,Psychic,Unknown,Purple,Final
#575,Gothorita,0.7 m,18.0 kg,Psychic,Unknown,Purple,Gothitelle
#574,Gothita,0.4 m,5.8 kg,Psychic,Unknown,Purple,Gothorita
#573,Cinccino,0.5 m,7.5 kg,Normal,Unknown,Gray,Final
#572,Minccino,0.4 m,5.8 kg,Normal,Unknown,Gray,Cinccino
#570,Zorua,0.7 m,12.5 kg,Dark,Unknown,Gray,Zoroark
#569,Garbodor,1.9 m,107.3 kg,Poison,Unknown,Green,Final
#568,Trubbish,0.6 m,31.0 kg,Poison,Unknown,Green,Garbodor
#567,Archeops,1.4 m,32.0 kg,Rock,Flying,Yellow,Final
#565,Carracosta,1.2 m,81.0 kg,Water,Rock,Blue,Final
#571,Zoroark,1.6 m,81.1 kg,Dark,Unknown,Gray,Final
#566,Archen,0.5 m,9.5 kg,Rock,Flying,Yellow,Archeops
#564,Tirtouga,0.7 m,16.5 kg,Water,Rock,Blue,Carracosta
#563,Cofagrigus,1.7 m,76.5 kg,Ghost,Unknown,Yellow,Final
#562,Yamask,0.5 m,1.5 kg,Ghost,Unknown,Black,Cofagrigus;Runerigus
#561,Sigilyph,1.4 m,14.0 kg,Psychic,Flying,Black,Final
#560,Scrafty,1.1 m,30.0 kg,Dark,Fighting,Red,Final
#556,Maractus,1.0 m,28.0 kg,Grass,Unknown,Green,Final
#559,Scraggy,0.6 m,11.8 kg,Dark,Fighting,Yellow,Scrafty
#558,Crustle,1.4 m,200.0 kg,Bug,Rock,Red,Final
#557,Dwebble,0.3 m,14.5 kg,Bug,Rock,Red,Crustle
